year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwdp7aj5cm320913,ca,1.0,15820.0,—,beige,vw credit,10950,8500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Toyota,Sienna,Base 7-Passenger,Minivan,automatic,5tdzk3dc9cs204563,ca,28.0,34357.0,white,beige,the hertz corporation,16200,16600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2011,BMW,5 Series,528i,Sedan,automatic,wbafr1c51bc260869,ca,28.0,79848.0,blue,brown,bmw of murrieta,20700,20800,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Coupe,automatic,wbake3c58be558295,ca,19.0,29939.0,red,tan,financial services remarketing (lease),20500,17000,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g56bnm76701,ca,37.0,34693.0,gray,—,financial services remarketing (lease),19400,20500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i,Convertible,automatic,wbadx7c54be743406,ca,41.0,24708.0,black,tan,financial services remarketing (lease),29100,29000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5c57bf093253,ca,44.0,29792.0,black,beige,financial services remarketing (lease),20100,20500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7aj7cm355491,ca,1.0,29808.0,—,black,vw credit,9000,7800,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2011,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c57bdu55628,ca,39.0,39277.0,brown,—,financial services remarketing (lease),29200,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,335i xDrive,Sedan,automatic,wbapl5g59bnn22990,ca,42.0,24856.0,black,black,financial services remarketing (lease),26200,28250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g57bnm83897,ca,42.0,20062.0,gray,beige,financial services remarketing (lease),21400,21500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Toyota,RAV4,Sport,SUV,automatic,jtmwf4dv4c5043639,ca,19.0,35166.0,gray,black,800 loan mart,17400,8200,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
